# EXAMPLE:
# 1505, My Book, Neil Elkadi, Thriller

1001, F. Scott Fitzgerald, The Great Gatsby, Action
1002, George Orwell, 1984, Horror
1003, Harper Lee, To Kill a Mockingbird, Drama
1004, Herman Melville, Moby-Dick, Historical
1005, Jane Austen, Pride and Prejudice, Adventure
1006, J.D. Salinger, The Catcher in the Rye, Biography
1007, Leo Tolstoy, War and Peace, Drama
1008, J.R.R. Tolkien, The Hobbit, Horror
1009, Fyodor Dostoevsky, Crime and Punishment, Action
1010, James Joyce, Ulysses, Family
